geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US10473,"10473",21940,1078,2816,603,1512,316,1581,385,1138,301,900,255,908,260,915,344,735,215,784,268,1322,300,2115,454,2273,438,2442,666,1009,330,874,201,616,167
86000US10474,"10474",3506,367,552,169,484,160,328,108,290,110,142,105,72,95,223,111,208,136,180,166,221,82,167,106,366,256,78,62,48,47,118,79,29,41
86000US10475,"10475",18653,1081,974,389,825,374,1087,517,874,364,1205,699,1424,535,864,390,902,459,509,257,1625,508,1914,529,2837,736,1644,610,1016,367,783,317,170,169
86000US10550,"10550",14488,751,1701,373,998,433,584,218,938,264,780,366,970,285,790,340,673,245,508,177,913,219,1071,235,1648,339,1028,222,809,302,462,137,615,233
86000US10803,"10803",4044,199,93,50,11,17,69,60,45,38,67,35,72,59,83,56,50,37,65,52,149,97,202,88,338,111,278,91,249,81,622,168,1651,187
86000US11001,"11001",8733,434,158,56,114,52,216,99,168,88,146,69,92,47,198,83,174,86,84,40,416,124,565,141,1012,167,1025,298,877,169,1337,219,2151,256
86000US11004,"11004",4808,314,158,86,129,100,41,43,100,67,115,114,255,159,135,94,112,80,115,78,250,131,362,132,682,197,594,153,375,169,760,215,625,183
86000US11005,"11005",1609,457,60,39,142,206,53,42,0,12,43,38,94,100,22,25,0,12,29,32,268,208,84,53,143,88,99,103,96,71,114,75,362,378
86000US11040,"11040",13078,508,285,134,98,44,191,95,291,130,389,148,165,88,237,93,284,112,228,88,585,192,616,165,1533,239,1227,275,1251,225,2193,286,3505,352
86000US11101,"11101",14951,938,1228,673,879,223,573,212,454,150,334,141,574,367,351,156,437,175,482,175,640,187,739,234,1424,318,1324,251,1158,306,1629,317,2725,426
86000US11102,"11102",12960,581,702,216,790,256,485,175,508,167,392,131,316,114,440,146,345,103,317,103,719,160,1061,200,1523,277,1220,219,1378,210,1400,235,1364,287
86000US11103,"11103",15575,646,689,157,456,107,514,118,609,144,547,176,321,91,462,123,481,150,460,136,1133,299,1413,213,2410,296,2206,355,1277,206,1494,248,1103,172
86000US11104,"11104",11281,504,478,158,329,133,417,146,372,137,308,122,559,144,448,155,530,150,364,148,693,169,1065,215,1650,293,1254,208,802,194,955,190,1057,245
86000US11105,"11105",15274,575,650,171,360,110,376,121,564,174,599,146,554,154,348,114,431,132,267,93,971,259,1614,226,1993,258,1841,250,1471,256,1649,235,1586,243
86000US11106,"11106",16975,747,1009,191,863,245,679,207,574,138,552,184,658,149,340,124,573,169,677,245,1194,278,1633,329,2001,317,1725,332,1346,358,1565,298,1586,333
86000US11109,"11109",2777,378,11,18,0,17,0,17,0,17,116,139,77,61,0,17,21,33,0,17,65,70,113,94,229,137,301,133,250,111,405,188,1189,324
86000US11201,"11201",29262,817,2059,315,517,141,835,230,462,174,456,151,794,229,483,124,453,153,361,122,861,242,1260,242,2401,345,2346,357,2481,510,3758,512,9735,578
86000US11203,"11203",29249,916,2139,299,1366,324,1211,225,1195,230,1617,398,1609,295,1104,243,1518,254,1040,194,2185,293,2691,356,3522,462,2851,395,1772,275,2136,359,1293,304
86000US11204,"11204",23520,743,1286,233,1521,260,1293,254,1434,242,1270,240,1156,178,1137,246,1001,240,882,198,1489,245,1864,336,3140,405,1898,308,1418,198,1443,245,1288,186
86000US11205,"11205",16779,767,1722,338,920,199,784,208,750,203,578,267,572,149,608,193,682,194,356,169,1018,253,1544,471,1474,236,1222,237,880,254,1460,311,2209,332
86000US11206,"11206",31489,958,3842,566,2866,492,2133,475,1633,342,1486,302,1681,395,1484,346,1107,209,826,225,1563,361,2543,433,3082,490,2133,301,1132,279,2078,364,1900,280
86000US11207,"11207",34010,1096,5967,706,2242,387,1855,303,1932,369,1730,356,1342,281,1318,245,1500,314,1177,259,2364,355,2962,396,3845,559,1650,342,1533,316,1514,241,1079,184
86000US11208,"11208",34368,1290,5184,538,1822,401,1648,357,1719,319,1878,490,1728,397,1383,262,1601,364,1233,224,2156,435,3272,632,4097,647,2432,433,1558,310,1161,258,1496,344
86000US11209,"11209",29186,936,1554,309,1264,289,1034,215,1003,211,972,283,1134,278,740,187,907,225,932,281,1749,284,2637,357,3407,317,2963,426,2321,321,2609,329,3960,342
86000US11210,"11210",21851,776,1192,314,689,165,928,246,566,168,788,266,550,152,852,210,879,220,873,261,1941,322,2377,348,2731,353,2409,433,1293,164,1747,339,2036,247
86000US11211,"11211",40821,1228,2364,359,2413,442,2003,378,1625,380,1380,310,1218,258,1121,238,1017,284,1088,267,1706,324,2264,426,3637,451,3570,472,2623,408,4993,820,7799,536
86000US11212,"11212",31207,1141,7681,990,2584,450,2245,413,1531,301,1746,322,1451,326,1229,302,1348,268,1336,360,2001,484,2352,426,1918,320,1585,426,996,267,623,200,581,177
86000US11213,"11213",26377,1048,2861,436,1986,425,1230,258,1995,378,974,292,1134,270,1131,289,1173,314,1010,234,1374,295,1990,341,2981,618,2021,371,1351,465,1822,300,1344,267
86000US11214,"11214",31717,849,1680,294,2123,383,1868,325,1578,293,1235,218,1303,220,1621,241,1455,321,1193,303,2371,350,2251,354,4047,462,2763,397,1909,314,2238,322,2082,287
86000US11215,"11215",28714,1057,1095,261,463,144,667,206,648,329,292,106,349,111,380,125,595,234,325,112,1085,290,1205,232,2770,410,2549,360,2566,366,4444,715,9281,570
86000US11216,"11216",25771,935,1965,375,1300,235,1054,263,694,187,766,205,543,180,656,259,1134,291,657,244,1378,261,2432,386,3159,369,2323,352,1688,306,2505,402,3517,420
86000US11217,"11217",18627,777,1448,293,399,144,440,146,614,233,402,153,532,176,321,141,469,160,310,106,612,169,866,233,1753,365,1283,259,1379,223,2214,275,5585,489
86000US11218,"11218",25219,1012,857,166,1205,329,946,200,1187,397,1127,242,769,197,929,251,559,180,780,188,1955,394,1943,325,3141,456,2575,371,1760,276,2299,289,3187,482
86000US11219,"11219",23871,911,1454,227,2202,429,1795,358,1799,291,1332,255,1750,324,1148,231,1054,235,828,197,1535,329,2147,396,2379,341,1585,319,1090,308,898,208,875,187
86000US11220,"11220",27849,888,1681,273,1638,306,1345,268,1886,367,1439,269,1027,197,1532,305,1055,230,890,216,2542,354,2505,348,3703,448,2168,333,1334,273,1666,240,1438,208
86000US11221,"11221",33067,1218,3470,504,2353,507,1461,405,1384,289,847,253,1114,210,857,212,950,220,856,190,2176,382,2579,389,4568,648,3451,497,2228,373,2491,357,2282,358
86000US11222,"11222",17941,795,1074,288,606,211,384,120,533,175,491,211,530,177,492,173,432,183,299,131,839,236,1445,295,2115,334,1688,281,1574,326,2163,280,3276,346
86000US11223,"11223",27709,889,2220,401,2247,390,1726,291,1496,333,1160,196,1141,242,692,144,937,200,1108,217,1394,277,2383,376,2739,342,2477,390,1744,270,1879,303,2366,370
86000US11224,"11224",19272,869,2152,405,2962,393,1612,310,992,274,888,384,881,266,1039,345,967,236,744,234,1257,298,1242,335,1154,290,945,219,537,125,869,321,1031,274
86000US11225,"11225",24177,921,1316,222,1350,352,1007,263,925,232,994,273,950,279,967,234,714,220,1489,478,1564,325,2009,447,3148,495,2535,514,1356,304,1884,358,1969,347
86000US11226,"11226",37483,1007,2737,364,2079,367,1191,241,1507,304,1343,243,2250,488,1703,335,1601,444,1232,267,2878,361,3740,476,5084,651,3403,478,1826,287,2782,520,2127,431
86000US11228,"11228",15473,576,648,194,597,141,794,280,631,161,684,151,555,217,513,136,611,164,379,109,1018,178,1214,213,1658,260,1580,247,1288,208,1579,208,1724,199
86000US11229,"11229",31099,885,1978,324,2137,405,1354,239,1431,249,1047,220,1423,260,1023,222,1234,280,944,211,1642,277,2835,434,3543,290,3149,358,2026,233,2498,337,2835,339
86000US11230,"11230",31254,917,2396,364,2750,342,1264,197,1463,317,1585,342,1261,270,1153,303,1147,225,1148,272,1840,333,3022,436,3713,489,2136,261,1784,307,2093,396,2499,326
86000US11231,"11231",15871,750,1441,280,862,239,419,150,280,123,270,102,462,180,314,132,397,145,384,256,665,247,819,258,1327,280,1030,301,856,190,2148,377,4197,480
86000US11232,"11232",8936,591,398,112,481,157,265,94,396,164,540,226,323,110,302,129,298,109,298,138,529,124,687,156,1238,311,771,146,605,209,818,189,987,349
86000US11233,"11233",31811,1176,5063,638,1870,408,1262,303,1607,314,1455,326,1319,388,1462,287,1242,359,1229,301,1705,335,2587,429,3604,432,2296,383,1589,326,1622,290,1899,293
86000US11234,"11234",32227,801,1351,273,1143,249,949,199,1262,320,1180,277,1181,257,843,174,957,209,906,201,1643,207,2653,344,4484,494,3606,358,2508,320,3697,376,3864,412
86000US11235,"11235",32492,984,2058,322,3041,429,2039,331,1576,358,1262,244,973,211,1119,224,1335,327,910,246,2556,417,2742,494,3576,490,2601,321,1787,262,2229,336,2688,382
86000US11236,"11236",34018,923,2307,380,1192,244,1127,235,1364,282,1112,207,1515,243,1050,190,1145,222,1344,253,2041,325,2998,419,4842,465,4142,379,2350,274,3060,343,2429,317
86000US11237,"11237",17383,767,1423,293,1041,219,984,236,1040,358,594,160,670,175,444,149,842,204,522,193,1421,477,1497,398,2316,403,1272,244,1098,256,1383,279,836,177
86000US11238,"11238",25443,952,1631,305,1153,282,606,218,523,193,584,171,660,216,444,170,594,192,445,153,1297,284,1546,312,3191,433,2168,291,1918,407,3113,400,5570,542
86000US11239,"11239",6771,520,742,304,1257,428,616,205,315,159,496,211,424,207,304,181,385,193,361,188,531,292,428,189,502,236,130,92,68,81,86,83,126,115
86000US11354,"11354",20115,1038,1950,374,1173,456,1469,408,1341,342,1421,351,1068,257,743,207,728,245,827,288,1169,296,2104,547,1968,381,1624,382,995,263,652,184,883,214
86000US11355,"11355",28422,1037,3147,468,1771,366,1778,414,1951,395,1469,330,1315,313,1355,316,1202,245,1455,428,1874,379,2481,405,2925,415,1799,317,1393,288,1108,214,1399,257
86000US11356,"11356",7346,497,158,73,126,82,309,133,421,155,277,131,598,210,270,131,324,149,198,116,596,173,985,279,780,219,818,221,528,266,518,145,440,149
86000US11357,"11357",14437,675,524,180,449,261,404,143,409,131,555,164,499,152,455,204,812,229,350,132,1000,279,1308,325,1952,330,1543,313,1191,246,1353,279,1633,261
86000US11358,"11358",12923,630,752,235,266,92,539,126,695,396,434,117,364,98,590,145,536,154,457,134,926,203,1157,212,1687,250,1138,187,1139,194,1041,176,1202,175
86000US11359,"11359",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US11360,"11360",8293,563,330,114,257,138,184,86,254,121,327,124,283,137,229,90,270,134,105,43,809,299,623,162,1003,214,826,195,779,322,1110,233,904,193
86000US11361,"11361",10659,825,406,157,229,80,275,92,341,125,361,145,308,114,335,107,323,113,216,71,634,161,1336,707,1407,263,1593,294,612,127,930,161,1353,186
86000US11362,"11362",7153,539,141,90,127,87,197,95,77,69,327,173,86,52,269,108,264,141,261,132,508,191,741,248,779,204,658,159,826,214,1153,496,739,189
86000US11363,"11363",2779,256,89,53,40,39,83,42,92,68,99,82,92,65,51,34,22,19,66,56,209,80,143,84,308,192,235,92,265,140,462,140,523,122
