geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US11432,"11432",18790,744,830,187,666,161,647,146,812,230,805,182,709,183,997,213,827,211,841,196,1377,269,2030,532,2797,373,1686,335,1015,220,1323,240,1428,223
86000US11433,"11433",10655,504,712,166,576,155,352,117,534,214,482,179,420,151,593,177,482,211,400,130,595,135,1006,222,1423,327,912,194,628,168,997,230,543,172
86000US11434,"11434",21510,808,1408,427,818,211,805,250,818,209,1142,381,725,227,923,277,638,192,936,261,1547,393,2183,419,3164,574,2063,324,1468,329,1514,267,1358,293
86000US11435,"11435",19310,1016,1059,358,743,185,677,196,862,200,745,265,659,194,680,210,750,244,496,151,1463,272,2173,351,2519,331,2038,523,1530,526,1543,373,1373,316
86000US11436,"11436",5496,318,276,108,88,39,151,59,233,164,140,59,197,104,165,68,228,93,227,96,433,124,663,158,744,134,642,161,406,101,468,110,435,120
86000US11451,"11451",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US11691,"11691",21163,951,2351,520,1482,334,732,187,820,319,1139,277,782,282,762,235,1025,324,891,304,1696,382,1974,473,1816,381,1891,332,979,320,1237,424,1586,437
86000US11692,"11692",7408,471,776,245,401,141,426,205,427,167,154,77,349,132,200,82,406,165,416,155,462,144,719,198,920,210,532,228,301,114,457,180,462,175
86000US11693,"11693",5210,506,485,282,228,104,225,98,402,199,343,173,296,146,268,173,170,71,103,59,243,147,529,164,467,148,477,259,201,80,431,160,342,119
86000US11694,"11694",8069,368,370,138,285,123,265,123,261,111,256,118,329,141,198,96,271,117,121,79,501,180,669,188,1069,231,781,179,615,221,969,219,1109,174
86000US11697,"11697",1295,222,19,19,0,12,39,32,42,27,9,14,25,24,20,29,39,44,58,58,103,61,43,38,171,58,139,71,70,41,292,177,226,73
