,Zip_Code,August,pct_below_poverty
0,10001,2.5443660466110756,13.06
1,10002,2.5865267398102505,27.36
2,10003,2.6920477585041676,9.2
3,10004,2.0987654320987654,1.32
4,10005,3.2448377581120944,9.46
5,10006,5.065666041275797,3.36
6,10007,2.045209903121636,2.16
7,10009,2.6088537405690393,23.54
8,10010,2.32508073196986,10.82
9,10011,1.825340014316392,9.92
10,10012,1.8158236057068744,11.08
11,10013,1.8329938900203666,10.73
12,10014,1.5411330583894074,5.79
13,10016,2.328711805088168,8.2
14,10017,1.450536698578474,6.49
15,10018,2.158730158730159,14.16
16,10019,2.2004889975550124,12.8
17,10021,1.8229166666666667,5.21
18,10022,1.7043202536662705,3.98
19,10023,1.822444041137326,7.96
20,10024,2.151483643925458,7.4
21,10025,2.399715288016676,14.27
22,10026,3.1057178116001647,23.14
23,10027,2.895685544830794,25.27
24,10028,1.8855065879145845,5.3
25,10029,4.061296897410735,32.86
26,10030,3.0134211192707014,27.58
27,10030,3.0134211192707014,27.58
28,10031,2.660064486411792,21.97
29,10032,3.2007487131492747,20.76
30,10033,2.637294446168166,17.62
31,10034,2.5451916124367315,18.21
32,10035,3.9986559139784945,36.77
33,10036,2.0536100302637266,14.33
34,10037,3.5527690700104495,25.16
35,10038,2.4784924211388772,18.57
36,10039,3.4676434676434678,25.47
37,10040,2.4240844519744558,21.04
38,10044,2.483343428225318,10.56
39,10065,2.101730837160014,5.88
40,10069,1.7684887459807075,9.25
41,10075,1.6643550624133148,2.45
42,10128,1.9188395152405435,6.01
43,10128,1.9188395152405435,6.01
44,10280,2.5031289111389237,4.87
45,10282,3.3333333333333335,2.33
46,10301,2.556580050293378,18.67
47,10302,3.5740072202166067,16.88
48,10303,3.113156469951272,23.01
49,10304,2.653444116858751,21.56
50,10305,2.7402177815005384,12.32
51,10306,3.0068942603206246,9.24
52,10307,2.9079159935379644,4.67
53,10308,3.244052570287806,4.36
54,10309,3.1274680145316696,6.63
55,10310,2.550767706785537,16.41
56,10312,3.105781057810578,5.88
57,10314,2.732939997773572,9.13
58,10451,2.7801592161665645,36.13
59,10452,2.8495627395106613,36.23
60,10453,2.909878519634617,37.77
61,10454,4.198121892837415,43.12
62,10455,3.2740213523131674,38.14
63,10456,3.0007629058235143,37.16
64,10457,2.8816933878235353,37.14
65,10458,2.812969722997638,34.02
66,10459,2.820733104238259,33.55
67,10460,3.0967586456199543,35.61
68,10461,2.611709369971531,15.38
69,10462,2.345305062743401,19.09
70,10463,2.2902412675549155,16.71
71,10463,2.2902412675549155,16.71
72,10464,2.3450586264656614,7.11
73,10465,2.7325959661678594,12.73
74,10466,2.3610828414410747,17.82
75,10467,2.504886700933903,25.2
76,10468,2.485809356038364,29.75
77,10469,2.2469806197921542,15.6
78,10469,2.2469806197921542,15.6
79,10470,3.046974185357596,12.5
80,10471,1.9663452448477972,9.25
81,10472,2.445557237684872,31.16
82,10473,2.8226572894886903,26.48
83,10474,2.976190476190476,47.9
84,10475,2.1878898378274636,11.31
85,11004,2.2016592214422466,6.06
86,11101,2.5342118601115056,16.85
87,11102,2.706970448905933,16.08
88,11103,2.041742286751361,11.51
89,11104,1.8532818532818531,10.14
90,11105,3.0795390137918006,9.33
91,11106,2.9523967490462764,12.63
92,11109,4.119850187265917,2.81
93,11201,2.408500590318772,12.35
94,11203,2.1506982301545814,14.55
95,11204,2.5426456388799488,20.8
96,11205,2.9356060606060606,27.67
97,11206,3.4119988626670454,34.92
98,11206,3.4119988626670454,34.92
99,11207,3.2473811442385174,28.5
100,11208,2.6748614958448753,25.68
101,11209,2.9656648957259537,10.97
102,11210,2.5608320251177394,11.76
103,11211,3.3333333333333335,25.22
104,11212,2.9902642559109873,34.41
