,August,median_household_income,zip,percent_elderly
0,2.5443660466110756,96787.0,10001,12.642851434508112
1,2.5865267398102505,35607.0,10002,23.736266691768755
2,2.6920477585041676,129981.0,10003,12.664849737520807
3,2.0987654320987654,204949.0,10004,8.3987915407855
4,3.2448377581120944,184681.0,10005,1.061865189289012
5,5.065666041275797,185268.0,10006,0.5214723926380368
6,2.045209903121636,250001.0,10007,5.604017975151996
7,2.6088537405690393,68220.0,10009,14.860898965108895
8,2.32508073196986,139188.0,10010,16.623996778183702
9,1.825340014316392,136208.0,10011,16.435056143983434
10,1.8158236057068744,110490.0,10012,14.543717982113398
11,1.8329938900203666,130675.0,10013,17.447744006699935
12,1.5411330583894074,136154.0,10014,16.456262254480407
13,2.328711805088168,124647.0,10016,14.773586332022981
14,1.450536698578474,130417.0,10017,22.21599751011516
15,2.158730158730159,136360.0,10018,10.141364474492931
16,2.2004889975550124,101651.0,10019,17.244788119768895
17,1.8229166666666667,130968.0,10021,24.611270205665868
18,1.7043202536662705,138661.0,10022,28.22258820548553
19,1.822444041137326,137347.0,10023,22.700392106447257
20,2.151483643925458,137126.0,10024,20.35938992654083
21,2.399715288016676,99067.0,10025,20.373906816258327
22,3.1057178116001647,64716.0,10026,10.77381410997252
23,2.895685544830794,57010.0,10027,11.053948832035594
24,1.8855065879145845,131013.0,10028,19.84279221049998
25,4.061296897410735,33801.0,10029,15.296782234611417
26,3.0134211192707014,45555.0,10030,12.308039747064138
27,2.660064486411792,55721.0,10031,11.031851360318512
28,3.2007487131492747,53690.0,10032,15.876829001965495
29,2.637294446168166,66902.0,10033,12.592074751057154
30,2.5451916124367315,63556.0,10034,12.844299239262634
31,3.9986559139784945,28408.0,10035,13.478742668720775
32,2.0536100302637266,97720.0,10036,13.495802486628175
33,3.5527690700104495,50686.0,10037,18.251029879543204
34,2.4784924211388772,95640.0,10038,16.47180334641603
35,3.4676434676434678,41363.0,10039,10.291620524178663
36,2.4240844519744558,53199.0,10040,17.959156581189017
37,2.483343428225318,112658.0,10044,19.882537196554424
38,2.101730837160014,153002.0,10065,20.073173143478687
39,1.7684887459807075,130556.0,10069,9.28659286592866
40,1.6643550624133148,123854.0,10075,28.427249789739275
41,1.9188395152405435,117926.0,10128,18.81433966168331
42,2.5031289111389237,170385.0,10280,8.087921468203158
43,3.3333333333333335,250001.0,10282,4.436411436082813
44,2.556580050293378,70065.0,10301,16.16799557906371
45,3.5740072202166067,72394.0,10302,10.751309775944708
46,3.113156469951272,70315.0,10303,10.84523634221764
47,2.653444116858751,64394.0,10304,14.378278309163838
48,2.7402177815005384,77136.0,10305,17.336157140197354
49,3.0068942603206246,83309.0,10306,18.426672557899778
50,2.9079159935379644,108808.0,10307,13.864345977546003
51,3.244052570287806,110478.0,10308,17.290059167502854
52,3.1274680145316696,102730.0,10309,16.403115411848006
53,2.550767706785537,86895.0,10310,13.985435286329029
54,3.105781057810578,96785.0,10312,17.035376509474098
55,2.732939997773572,90306.0,10314,18.171406969245478
56,2.7801592161665645,32598.0,10451,12.848269024543228
57,2.8495627395106613,31351.0,10452,9.99206765350435
58,2.909878519634617,31778.0,10453,8.867838393060946
59,4.198121892837415,23337.0,10454,8.963948475150104
60,3.2740213523131674,29439.0,10455,8.635235732009926
61,3.0007629058235143,31645.0,10456,9.336973220305264
62,2.8816933878235353,32378.0,10457,8.991818315724636
63,2.812969722997638,37886.0,10458,8.657282898489981
64,2.820733104238259,31896.0,10459,10.249839846252403
65,3.0967586456199543,28831.0,10460,11.736272907466008
66,2.611709369971531,60802.0,10461,16.44642822184374
67,2.345305062743401,57266.0,10462,13.051258599435318
68,2.2902412675549155,60397.0,10463,20.218976023691553
69,2.3450586264656614,101935.0,10464,20.61545580749653
70,2.7325959661678594,74889.0,10465,16.094172990724715
71,2.3610828414410747,58405.0,10466,14.381567117111071
72,2.504886700933903,40639.0,10467,11.187008635133392
73,2.485809356038364,37777.0,10468,11.513366675975528
74,2.2469806197921542,67190.0,10469,18.337698139214336
75,3.046974185357596,64643.0,10470,16.245161290322578
76,1.9663452448477972,93657.0,10471,28.276564645435617
77,2.445557237684872,36038.0,10472,12.299048375472502
78,2.8226572894886903,47856.0,10473,16.118536904422495
79,2.976190476190476,28419.0,10474,8.169962863805164
80,2.1878898378274636,53819.0,10475,24.8909593295426
81,2.2016592214422466,97845.0,11004,22.95221285219324
82,4.136690647482014,75742.0,11005,93.06358381502889
83,2.5342118601115056,89525.0,11101,7.480714263761255
84,2.706970448905933,81462.0,11102,13.124581261680596
85,2.041742286751361,81677.0,11103,10.412490471216017
86,1.8532818532818531,75772.0,11104,13.128569716819108
87,3.0795390137918006,86516.0,11105,12.94990921713126
88,2.9523967490462764,71865.0,11106,13.986089394511241
89,4.119850187265917,169425.0,11109,5.092214787008324
90,2.408500590318772,139697.0,11201,11.98493780672243
91,2.1506982301545814,57707.0,11203,17.957442420961733
92,2.5426456388799488,54984.0,11204,14.506856540084389
93,2.9356060606060606,62952.0,11205,7.913759244557724
94,3.4119988626670454,43065.0,11206,9.709014943092958
95,3.2473811442385174,42276.0,11207,13.245732774274487
96,2.6748614958448753,45946.0,11208,10.707812834954105
97,2.9656648957259537,79524.0,11209,17.667622279428976
98,2.5608320251177394,70776.0,11210,15.603223170946606
99,3.3333333333333335,90871.0,11211,8.839815992578496
100,2.9902642559109873,29385.0,11212,14.340127233680457
101,2.8293241695303553,48318.0,11213,13.178593689709418
102,3.0140201346427027,57639.0,11214,16.942194485017485
103,2.285564166557205,144330.0,11215,10.979355668262018
