,2016,2017,2018,2019,2020,2021
1,2.855268161587531,2.75233266281534,2.2453515483598614,2.460083452160874,2.5327450525397874,2.8269953676919077
2,2.860779710990548,2.742981468588795,2.763293327884486,2.4507152115274278,2.534237550428449,2.833095430894295
3,2.820561022856589,2.195381377851007,2.7505171199617533,2.41549062433854,2.5634163920536333,2.8414501736271736
4,2.8450060123119276,2.2073424691263357,2.75066734378554,2.4129846253458482,2.5644265595928313,2.880892580795386
5,2.838432728476752,2.2172880782340703,2.734575734199499,2.573655659895228,2.5752483484678823,2.9119784680298433
6,2.993085175195793,2.208736011389525,2.7496810270055208,2.583463013989204,2.538007883471694,2.946274063900531
7,2.962952212537244,2.176531947578674,2.2093042840389527,2.604128611907185,2.5614057143099314,2.8582472574078324
8,2.947086839357441,2.235484449130414,2.3682416100216566,2.6129563806645657,3.08495994102469,2.9956535611861588
9,2.923835640802443,2.2157064405588893,2.344357942447492,2.485195745797559,3.1104706767088564,4.059707731448872
10,2.92663126384092,2.233007353434788,2.380714640348993,2.515559381100762,3.0974930597671992,4.049605914793732
11,2.7707672120837086,2.2391481588162976,2.3905912910388794,2.5019713212237082,2.8433557251825357,3.9669573596911842
12,2.76062552806713,2.249506041185651,2.412994641706107,2.5006245513970735,2.863051823654578,4.0388094469626425
